combo,replication,week,price,sales,remain_invent
22,0,14,54,60,743.0
22,0,15,36,211,532.0
22,0,16,81594,99912,0.1833413403795339
22,1,1,60,84,1916.0
22,1,2,60,67,1849.0
22,1,3,60,100,1749.0
22,1,4,60,62,1687.0
22,1,5,60,23,1664.0
22,1,6,60,66,1598.0
22,1,7,60,57,1541.0
22,1,8,60,48,1493.0
22,1,9,60,85,1408.0
22,1,10,60,87,1321.0
22,1,11,60,71,1250.0
22,1,12,54,97,1153.0
22,1,13,54,118,1035.0
22,1,14,54,76,959.0
22,1,15,36,189,770.0
22,1,16,67518,89100,0.2422222222222222
23,0,1,60,104,1896.0
23,0,2,60,145,1751.0
23,0,3,60,97,1654.0
23,0,4,60,102,1552.0
23,0,5,60,122,1430.0
23,0,6,60,100,1330.0
23,0,7,60,90,1240.0
23,0,8,60,103,1137.0
23,0,9,60,117,1020.0
23,0,10,60,97,923.0
23,0,11,60,94,829.0
23,0,12,54,120,709.0
23,0,13,54,152,557.0
23,0,14,48,174,383.0
23,0,15,48,140,243.0
23,0,16,100020,108408,0.0773743635156076
23,1,1,60,113,1887.0
23,1,2,60,119,1768.0
23,1,3,60,106,1662.0
23,1,4,60,88,1574.0
23,1,5,60,121,1453.0
23,1,6,60,105,1348.0
23,1,7,60,85,1263.0
23,1,8,60,166,1097.0
23,1,9,60,157,940.0
23,1,10,60,137,803.0
23,1,11,60,101,702.0
23,1,12,54,148,554.0
23,1,13,54,160,394.0
23,1,14,48,216,178.0
23,1,15,48,156,22.0
23,1,16,112368,113418,0.0092577897688197
24,0,1,60,104,1896.0
24,0,2,60,105,1791.0
24,0,3,60,128,1663.0
24,0,4,60,92,1571.0
24,0,5,60,141,1430.0
24,0,6,60,76,1354.0
24,0,7,60,109,1245.0
24,0,8,60,98,1147.0
24,0,9,60,142,1005.0
24,0,10,60,91,914.0
24,0,11,60,134,780.0
24,0,12,54,120,660.0
24,0,13,54,101,559.0
24,0,14,48,158,401.0
24,0,15,36,360,41.0
24,0,16,105678,109374,0.0337923089582533
24,1,1,60,104,1896.0
24,1,2,60,33,1863.0
24,1,3,60,56,1807.0
24,1,4,60,101,1706.0
24,1,5,60,151,1555.0
24,1,6,60,77,1478.0
24,1,7,60,52,1426.0
24,1,8,60,111,1315.0
24,1,9,60,153,1162.0
24,1,10,60,124,1038.0
24,1,11,60,85,953.0
24,1,12,54,139,814.0
24,1,13,54,108,706.0
24,1,14,48,138,568.0
24,1,15,36,398,170.0
24,1,16,97110,105438,0.0789848062368405
25,0,1,60,70,1930.0
25,0,2,60,84,1846.0
25,0,3,60,62,1784.0
25,0,4,60,56,1728.0
25,0,5,60,69,1659.0
25,0,6,60,50,1609.0
25,0,7,60,75,1534.0
25,0,8,60,99,1435.0
25,0,9,60,60,1375.0
25,0,10,60,89,1286.0
25,0,11,60,45,1241.0
25,0,12,54,57,1184.0
25,0,13,54,95,1089.0
25,0,14,36,174,915.0
25,0,15,36,215,700.0
25,0,16,67752,87804,0.2283722837228372
25,1,1,60,84,1916.0
25,1,2,60,63,1853.0
25,1,3,60,60,1793.0
25,1,4,60,89,1704.0
25,1,5,60,82,1622.0
25,1,6,60,102,1520.0
25,1,7,60,111,1409.0
25,1,8,60,71,1338.0
25,1,9,60,63,1275.0
25,1,10,60,51,1224.0
25,1,11,60,131,1093.0
25,1,12,54,24,1069.0
25,1,13,54,105,964.0
25,1,14,36,233,731.0
25,1,15,36,275,456.0
25,1,16,79674,97116,0.1795996540219943
26,0,1,60,103,1897.0
26,0,2,60,89,1808.0
26,0,3,60,133,1675.0
26,0,4,60,63,1612.0
26,0,5,60,86,1526.0
26,0,6,60,83,1443.0
26,0,7,60,80,1363.0
26,0,8,60,144,1219.0
26,0,9,60,75,1144.0
26,0,10,60,99,1045.0
26,0,11,60,108,937.0
26,0,12,54,154,783.0
26,0,13,48,105,678.0
26,0,14,48,134,544.0
26,0,15,48,235,309.0
26,0,16,94848,105108,0.0976138828633406
26,1,1,60,79,1921.0
26,1,2,60,82,1839.0
26,1,3,60,96,1743.0
26,1,4,60,49,1694.0
26,1,5,60,82,1612.0
26,1,6,60,67,1545.0
26,1,7,60,50,1495.0
26,1,8,60,41,1454.0
26,1,9,60,87,1367.0
26,1,10,60,47,1320.0
26,1,11,60,90,1230.0
26,1,12,54,104,1126.0
26,1,13,48,188,938.0
26,1,14,48,250,688.0
26,1,15,48,147,541.0
26,1,16,79896,96948,0.1758881049634856
27,0,1,60,92,1908.0
27,0,2,60,75,1833.0
27,0,3,60,69,1764.0
27,0,4,60,133,1631.0
27,0,5,60,55,1576.0
27,0,6,60,98,1478.0
27,0,7,60,105,1373.0
27,0,8,60,122,1251.0
27,0,9,60,67,1184.0
27,0,10,60,109,1075.0
27,0,11,60,52,1023.0
27,0,12,54,150,873.0
27,0,13,48,172,701.0
27,0,14,48,144,557.0
27,0,15,36,193,364.0
27,0,16,88836,101616,0.1257675956542276
27,1,1,60,42,1958.0
27,1,2,60,40,1918.0
27,1,3,60,38,1880.0
27,1,4,60,57,1823.0
27,1,5,60,33,1790.0
27,1,6,60,29,1761.0
27,1,7,60,60,1701.0
27,1,8,60,34,1667.0
27,1,9,60,25,1642.0
27,1,10,60,54,1588.0
27,1,11,60,25,1563.0
27,1,12,54,63,1500.0
27,1,13,48,68,1432.0
27,1,14,48,52,1380.0
27,1,15,36,70,1310.0
27,1,16,37902,56628,0.3306844670481034
28,0,1,60,119,1881.0
28,0,2,60,174,1707.0
28,0,3,60,97,1610.0
28,0,4,60,107,1503.0
28,0,5,60,98,1405.0
28,0,6,60,142,1263.0
28,0,7,60,83,1180.0
28,0,8,60,126,1054.0
28,0,9,60,139,915.0
28,0,10,60,159,756.0
28,0,11,60,109,647.0
28,0,12,54,197,450.0
28,0,13,48,272,178.0
28,0,14,36,178,0.0
28,0,15,36,0,0.0
28,0,16,111282,118176,0.0583367181153533
28,1,1,60,102,1898.0
28,1,2,60,110,1788.0
28,1,3,60,67,1721.0
28,1,4,60,83,1638.0
28,1,5,60,113,1525.0
28,1,6,60,85,1440.0
